,title,authors,date,keywords,abstract,title_url,url_authors,data_index
0,An Extended Plant Circadian Clock Model for Characterising Flowering Time under Different Light Quality Conditions,"Miao Lin Pay, Jesper Christensen, Fei He, Laura Roden, Hafiz Ahmed, Mathias Foo",09-Jan-23,"['Arabidopsis thaliana', 'Flowering Time', 'Light Quality', 'Plant Circadian Clock', 'Speed Breeding']","Speed breeding has recently emerged as an innovative agricultural technology solution to meet the ever-increasing global food demand. In speed breeding, typically various light qualities (e.g., colour, duration, intensity) are modified to manipulate the circadian clock of the plants, which in turn alter the plant growth and enhance the productivity such as by reducing the flowering time. In order to develop a comprehensive framework describing plant growth, a model incorporating the effect of various light qualities on plant growth needs to be established. Recently a mathematical model of the plant circadian clock for Arabidopsis thaliana has been developed to characterise the hypocotyl growth subject to multiple light quality properties. This is a first step towards developing a more comprehensive model that links light quality, plant circadian clock and plant growth. In this work, we extend the model by adding the effect of various light qualities on the flowering time. The proposed model can capture the flowering time behaviours of plant when subject to red, blue, and mixed lights and can be used to guide experiment of light properties manipulation for optimised plant growth via hypocotyl growth and flowering time. ",https://pureportal.coventry.ac.uk/en/publications/an-extended-plant-circadian-clock-model-for-characterising-flower,"['https://pureportal.coventry.ac.uk/en/persons/miao-lin-pay', 'https://pureportal.coventry.ac.uk/en/persons/jesper-christensen', 'https://pureportal.coventry.ac.uk/en/persons/fei-he', 'https://pureportal.coventry.ac.uk/en/persons/laura-roden', None, None]","['extend', 'plant', 'circadian', 'clock', 'model', 'characteris', 'flower', 'time', 'differ', 'light', 'qualiti', 'condit', 'miao', 'lin', 'pay', 'jesper', 'christensen', 'fei', 'laura', 'roden', 'hafiz', 'ahm', 'mathia', 'foo', 'speed', 'breed', 'recent', 'emerg', 'innov', 'agricultur', 'technolog', 'solut', 'meet', 'ever', 'increas', 'global', 'food', 'demand', 'speed', 'breed', 'typic', 'variou', 'light', 'qualiti', 'e', 'g', 'colour', 'durat', 'intens', 'modifi', 'manipul', 'circadian', 'clock', 'plant', 'turn', 'alter', 'plant', 'growth', 'enhanc', 'product', 'reduc', 'flower', 'time', 'order', 'develop', 'comprehens', 'framework', 'describ', 'plant', 'growth', 'model', 'incorpor', 'effect', 'variou', 'light', 'qualiti', 'plant', 'growth', 'need', 'establish', 'recent', 'mathemat', 'model', 'plant', 'circadian', 'clock', 'arabidopsi', 'thaliana', 'develop', 'characteris', 'hypocotyl', 'growth', 'subject', 'multipl', 'light', 'qualiti', 'properti', 'first', 'step', 'toward', 'develop', 'comprehens', 'model', 'link', 'light', 'qualiti', 'plant', 'circadian', 'clock', 'plant', 'growth', 'work', 'extend', 'model', 'ad', 'effect', 'variou', 'light', 'qualiti', 'flower', 'time', 'propos', 'model', 'captur', 'flower', 'time', 'behaviour', 'plant', 'subject', 'red', 'blue', 'mix', 'light', 'use', 'guid', 'experi', 'light', 'properti', 'manipul', 'optimis', 'plant', 'growth', 'via', 'hypocotyl', 'growth', 'flower', 'time', 'arabidopsi', 'thaliana', 'flower', 'time', 'light', 'qualiti', 'plant', 'circadian', 'clock', 'speed', 'breed']"
1,Challenges and prospects of climate change impact assessment on mangrove environments through mathematical models,"Majdi Fanous, Jonathan Eden, Renji Remesan, Alireza Daneshkhah",25-Feb-23,"['Mangrove environments', 'Climate change', 'Hydro-morphodynamic modelling', 'Adaptation policies', 'Machine learning', 'Data-driven modelling']","The impacts of climate change, especially sea-level rise, are an increasing threat to the world’s coastal regions. Following recommendations made by the United Nations about the preservation of mangrove environments, particularly given their potential for effective natural defence against wave-driven hazards, a series of experiments have been conducted to quantify the ability of mangroves to counter climate change impacts. To date, these experiments have been limited by computational cost and inability to model multiple scenarios. With improved data quality and availability, machine learning has enormous potential to supplement, or even replace, existing numerical methods. This article presents both an outline of the importance of protecting mangrove environments and a review of methods currently used to quantify the capacity of mangroves to adapt to climate change impacts. In view of the limitations of existing numerical methods, the article also discusses the potential of machine learning as an efficient and effective alternative.",https://pureportal.coventry.ac.uk/en/publications/challenges-and-prospects-of-climate-change-impact-assessment-on-m,"['https://pureportal.coventry.ac.uk/en/persons/majdi-fanous', 'https://pureportal.coventry.ac.uk/en/persons/jonathan-eden', None, 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']","['challeng', 'prospect', 'climat', 'chang', 'impact', 'assess', 'mangrov', 'environ', 'mathemat', 'model', 'majdi', 'fanou', 'jonathan', 'eden', 'renji', 'remesan', 'alireza', 'daneshkhah', 'impact', 'climat', 'chang', 'especi', 'sea', 'level', 'rise', 'increas', 'threat', 'world', 'coastal', 'region', 'follow', 'recommend', 'made', 'unit', 'nation', 'preserv', 'mangrov', 'environ', 'particularli', 'given', 'potenti', 'effect', 'natur', 'defenc', 'wave', 'driven', 'hazard', 'seri', 'experi', 'conduct', 'quantifi', 'abil', 'mangrov', 'counter', 'climat', 'chang', 'impact', 'date', 'experi', 'limit', 'comput', 'cost', 'inabl', 'model', 'multipl', 'scenario', 'improv', 'data', 'qualiti', 'avail', 'machin', 'learn', 'enorm', 'potenti', 'supplement', 'even', 'replac', 'exist', 'numer', 'method', 'articl', 'present', 'outlin', 'import', 'protect', 'mangrov', 'environ', 'review', 'method', 'current', 'use', 'quantifi', 'capac', 'mangrov', 'adapt', 'climat', 'chang', 'impact', 'view', 'limit', 'exist', 'numer', 'method', 'articl', 'also', 'discuss', 'potenti', 'machin', 'learn', 'effici', 'effect', 'altern', 'mangrov', 'environ', 'climat', 'chang', 'hydro', 'morphodynam', 'model', 'adapt', 'polici', 'machin', 'learn', 'data', 'driven', 'model']"
2,Diabetic Retinopathy Detection Using Transfer and Reinforcement Learning with Effective Image Preprocessing and Data Augmentation Techniques,"Maria Tariq, Vasile Palade, YingLiang Ma, Abdulrahman Altahhan",07-Feb-23,"['Diabetic retinopathy', 'Deep learning', 'Reinforcement learning', 'Transfer learning']","Diabetic retinopathy is the consequence of advanced stages of diabetes, which can ultimately lead to permanent blindness. An early detection of diabetic retinopathy is extremely important to avoid blindness and to recover from it as soon as possible. This chapter discusses the application of recent deep and transfer learning models for medical image analysis, with the focus on diabetic retinopathy detection. The chapter presents an extensive discussion on the publicly available datasets with diabetic retinopathy images, and the Kaggle dataset is used for training and testing of our proposed model. The main challenges to handle noisy and not large enough datasets are discussed in this chapter as well, where image preprocessing techniques and data augmentation play a significant role. An extensive overview of recent data augmentation techniques is also given to tackle the problem of imbalanced nature of diabetic retinopathy datasets. The proposed model integrates deep learning and reinforcement learning to perform detection and imbalanced classification on the Kaggle dataset.",https://pureportal.coventry.ac.uk/en/publications/diabetic-retinopathy-detection-using-transfer-and-reinforcement-l,"['https://pureportal.coventry.ac.uk/en/persons/maria-tariq', 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'https://pureportal.coventry.ac.uk/en/persons/yingliang-ma', None]","['diabet', 'retinopathi', 'detect', 'use', 'transfer', 'reinforc', 'learn', 'effect', 'imag', 'preprocess', 'data', 'augment', 'techniqu', 'maria', 'tariq', 'vasil', 'palad', 'yingliang', 'abdulrahman', 'altahhan', 'diabet', 'retinopathi', 'consequ', 'advanc', 'stage', 'diabet', 'ultim', 'lead', 'perman', 'blind', 'earli', 'detect', 'diabet', 'retinopathi', 'extrem', 'import', 'avoid', 'blind', 'recov', 'soon', 'possibl', 'chapter', 'discuss', 'applic', 'recent', 'deep', 'transfer', 'learn', 'model', 'medic', 'imag', 'analysi', 'focu', 'diabet', 'retinopathi', 'detect', 'chapter', 'present', 'extens', 'discuss', 'publicli', 'avail', 'dataset', 'diabet', 'retinopathi', 'imag', 'kaggl', 'dataset', 'use', 'train', 'test', 'propos', 'model', 'main', 'challeng', 'handl', 'noisi', 'larg', 'enough', 'dataset', 'discuss', 'chapter', 'well', 'imag', 'preprocess', 'techniqu', 'data', 'augment', 'play', 'signific', 'role', 'extens', 'overview', 'recent', 'data', 'augment', 'techniqu', 'also', 'given', 'tackl', 'problem', 'imbalanc', 'natur', 'diabet', 'retinopathi', 'dataset', 'propos', 'model', 'integr', 'deep', 'learn', 'reinforc', 'learn', 'perform', 'detect', 'imbalanc', 'classif', 'kaggl', 'dataset', 'diabet', 'retinopathi', 'deep', 'learn', 'reinforc', 'learn', 'transfer', 'learn']"
3,Entropy‐based lamarckian quantum‐behaved particle swarm optimization for flexible ligand docking,"Qi You, Chao Li, Jun Sun, Vasile Palade, Feng Pan",Mar-23,"['Organic Chemistry', 'Computer Science Applications', 'Drug Discovery', 'Molecular Medicine', 'Structural Biology']","AutoDock is a widely used software for flexible ligand docking problems since it is open source and easy to be implemented. In this paper, a novel hybrid algorithm is proposed and applied in the docking environment of AutoDock version 4.2.6 in order to enhance the accuracy and the efficiency for dockings with flexible ligands. This search algorithm, called entropy-based Lamarckian quantum-behaved particle swarm optimization (ELQPSO), is a combination of the QPSO with an entropy-based update strategy and the Solis and Wet local search (SWLS) method. By using the PDBbind core set v.2016, the ELQPSO is compared with the Lamarckian genetic algorithm (LGA), Lamarckian particle swarm optimization (LPSO) and Lamarckian QPSO (LQPSO). The experimental results reveal that the corresponding docking program of ELQPSO, named as EQDOCK in this paper, has a competitive performance in dealing with the protein-ligand docking problems. Moreover, for the test cases with different number of torsions, the EQDOCK outperforms the other three docking programs in finding docking conformations with small root mean squared deviation (RMSD) values in most cases. In particular, it has an advantage of solving highly flexible ligand docking problems over the others.",https://pureportal.coventry.ac.uk/en/publications/entropybased-lamarckian-quantumbehaved-particle-swarm-optimizatio,"[None, None, None, 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade', None]","['entropi', 'base', 'lamarckian', 'quantum', 'behav', 'particl', 'swarm', 'optim', 'flexibl', 'ligand', 'dock', 'qi', 'chao', 'li', 'jun', 'sun', 'vasil', 'palad', 'feng', 'pan', 'autodock', 'wide', 'use', 'softwar', 'flexibl', 'ligand', 'dock', 'problem', 'sinc', 'open', 'sourc', 'easi', 'implement', 'paper', 'novel', 'hybrid', 'algorithm', 'propos', 'appli', 'dock', 'environ', 'autodock', 'version', '4', '2', '6', 'order', 'enhanc', 'accuraci', 'effici', 'dock', 'flexibl', 'ligand', 'search', 'algorithm', 'call', 'entropi', 'base', 'lamarckian', 'quantum', 'behav', 'particl', 'swarm', 'optim', 'elqpso', 'combin', 'qpso', 'entropi', 'base', 'updat', 'strategi', 'soli', 'wet', 'local', 'search', 'swl', 'method', 'use', 'pdbbind', 'core', 'set', 'v', '2016', 'elqpso', 'compar', 'lamarckian', 'genet', 'algorithm', 'lga', 'lamarckian', 'particl', 'swarm', 'optim', 'lpso', 'lamarckian', 'qpso', 'lqpso', 'experiment', 'result', 'reveal', 'correspond', 'dock', 'program', 'elqpso', 'name', 'eqdock', 'paper', 'competit', 'perform', 'deal', 'protein', 'ligand', 'dock', 'problem', 'moreov', 'test', 'case', 'differ', 'number', 'torsion', 'eqdock', 'outperform', 'three', 'dock', 'program', 'find', 'dock', 'conform', 'small', 'root', 'mean', 'squar', 'deviat', 'rmsd', 'valu', 'case', 'particular', 'advantag', 'solv', 'highli', 'flexibl', 'ligand', 'dock', 'problem', 'other', 'organ', 'chemistri', 'comput', 'scienc', 'applic', 'drug', 'discoveri', 'molecular', 'medicin', 'structur', 'biolog']"
4,Extracting the Evolutionary Backbone of Scientific Domains: The Semantic Main Path Network Approach Based on Citation Context Analysis,"Xiaorui Jiang, Junjun Liu",15-Feb-23,[],"Main path analysis is a popular method for extracting the scientific backbone from the citation network of a research domain. Existing approaches ignored the semantic relationships between the citing and cited publications, resulting in several adverse issues, in terms of coherence of main paths and coverage of significant studies. This paper advocated the semantic main path analysis approach to alleviate these issues based on citation function analysis. A wide variety of SciBERT-based deep learning models were designed for identifying citation functions. Semantic citation networks were built by either including important citations, e.g., extension, motivation, usage and similarity, or excluding incidental citations like background and future work. Semantic main path network was built by merging the top-K main paths extracted from various time slices of semantic citation network. In addition, this study proposed a three-way framework for quantitative evaluation of main path analysis results. Both qualitative and quantitative analysis on three research areas of computational linguistics demonstrated that, compared to semantics-agnostic counterparts, different types of semantic main path networks provide complementary views scientific knowledge flows. Combining them together, we can obtain a more precise and comprehensive picture of domain evolution and uncover more coherent development pathways between scientific ideas. ",https://pureportal.coventry.ac.uk/en/publications/extracting-the-evolutionary-backbone-of-scientific-domains-the-se,"['https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang', None]","['extract', 'evolutionari', 'backbon', 'scientif', 'domain', 'semant', 'main', 'path', 'network', 'approach', 'base', 'citat', 'context', 'analysi', 'xiaorui', 'jiang', 'junjun', 'liu', 'main', 'path', 'analysi', 'popular', 'method', 'extract', 'scientif', 'backbon', 'citat', 'network', 'research', 'domain', 'exist', 'approach', 'ignor', 'semant', 'relationship', 'cite', 'cite', 'public', 'result', 'sever', 'advers', 'issu', 'term', 'coher', 'main', 'path', 'coverag', 'signific', 'studi', 'paper', 'advoc', 'semant', 'main', 'path', 'analysi', 'approach', 'allevi', 'issu', 'base', 'citat', 'function', 'analysi', 'wide', 'varieti', 'scibert', 'base', 'deep', 'learn', 'model', 'design', 'identifi', 'citat', 'function', 'semant', 'citat', 'network', 'built', 'either', 'includ', 'import', 'citat', 'e', 'g', 'extens', 'motiv', 'usag', 'similar', 'exclud', 'incident', 'citat', 'like', 'background', 'futur', 'work', 'semant', 'main', 'path', 'network', 'built', 'merg', 'top', 'k', 'main', 'path', 'extract', 'variou', 'time', 'slice', 'semant', 'citat', 'network', 'addit', 'studi', 'propos', 'three', 'way', 'framework', 'quantit', 'evalu', 'main', 'path', 'analysi', 'result', 'qualit', 'quantit', 'analysi', 'three', 'research', 'area', 'comput', 'linguist', 'demonstr', 'compar', 'semant', 'agnost', 'counterpart', 'differ', 'type', 'semant', 'main', 'path', 'network', 'provid', 'complementari', 'view', 'scientif', 'knowledg', 'flow', 'combin', 'togeth', 'obtain', 'precis', 'comprehens', 'pictur', 'domain', 'evolut', 'uncov', 'coher', 'develop', 'pathway', 'scientif', 'idea']"
5,Gene Regulatory Network Inference through Link Prediction using Graph Neural Network,"Sivasharmini Ganeshamoorthy, Laura Roden, Dominik Klepl, Fei He",19-Jan-23,"['Proteins', 'Sequential analysis', 'Machine learning', 'Signal processing', 'Graph neural networks', 'Functional analysis', 'Biology']","Gene Regulatory Networks (GRNs) depict the causal regulatory interactions between transcription factors (TFs) and their target genes [2], where TFs are proteins that regulate gene transcription. GRN plays a vital role in explaining gene function, which helps to identify and prioritize the candidate genes for functional analysis [3]. Currently, high-dimensional transcriptome datasets are produced from high-throughput sequencing techniques, such as microarray and RNA-Seq. These techniques can capture the differences in the expression of thousands of genes at once. Through these wet-lab experiments, studying the interconnections among a large number of genes or TFs at a network level is challenging [4]. Therefore, one of the important topics in computational biology is the inference of GRNs from high-dimensional gene expression data through statistical and machine learning approaches [2].",https://pureportal.coventry.ac.uk/en/publications/gene-regulatory-network-inference-through-link-prediction-using-g,"['https://pureportal.coventry.ac.uk/en/persons/sivasharmini-ganeshamoorthy', 'https://pureportal.coventry.ac.uk/en/persons/laura-roden', 'https://pureportal.coventry.ac.uk/en/persons/dominik-klepl', 'https://pureportal.coventry.ac.uk/en/persons/fei-he']","['gene', 'regulatori', 'network', 'infer', 'link', 'predict', 'use', 'graph', 'neural', 'network', 'sivasharmini', 'ganeshamoorthi', 'laura', 'roden', 'dominik', 'klepl', 'fei', 'gene', 'regulatori', 'network', 'grn', 'depict', 'causal', 'regulatori', 'interact', 'transcript', 'factor', 'tf', 'target', 'gene', '2', 'tf', 'protein', 'regul', 'gene', 'transcript', 'grn', 'play', 'vital', 'role', 'explain', 'gene', 'function', 'help', 'identifi', 'priorit', 'candid', 'gene', 'function', 'analysi', '3', 'current', 'high', 'dimension', 'transcriptom', 'dataset', 'produc', 'high', 'throughput', 'sequenc', 'techniqu', 'microarray', 'rna', 'seq', 'techniqu', 'captur', 'differ', 'express', 'thousand', 'gene', 'wet', 'lab', 'experi', 'studi', 'interconnect', 'among', 'larg', 'number', 'gene', 'tf', 'network', 'level', 'challeng', '4', 'therefor', 'one', 'import', 'topic', 'comput', 'biolog', 'infer', 'grn', 'high', 'dimension', 'gene', 'express', 'data', 'statist', 'machin', 'learn', 'approach', '2', 'protein', 'sequenti', 'analysi', 'machin', 'learn', 'signal', 'process', 'graph', 'neural', 'network', 'function', 'analysi', 'biolog']"
6,Hydro-morphodynamic modelling of mangroves imposed by tidal waves using finite element discontinuous Galerkin method,"Majdi Fanous, Alireza Daneshkhah, Jonathan M. Eden, Renji Remesan, Vasile Palade",28-Mar-23,"['Coastal modelling', 'Hydro-morphodynamic modelling', 'Discontinuous Galerkin', 'Mangrove environments', 'Unstructured mesh']","Modelling the hydro-morphodynamics of mangrove environments is key for implementing successful protection and restoration projects in a climatically vulnerable region. Nevertheless, simulating such dynamics is faced with computational and time complexities, given the nonlinear and complex nature of the problem, which could become a bottleneck for large-scale applications. This study investigates the effect of mangrove environments on the hydro-morphodynamics of its region. A depth-averaged model was built using a novel finite element model for simulating coastal models, within Thetis. The Sundarbans, the largest mangrove forest in the world located between India and Bangladesh, is taken as a case study. The Sundarbans is regularly subjected to tropical cyclones, the impacts of which endanger the lives of the region’s four million people. This is a first-time application of a coupled hydro-morphodyamic model using discontinuous Galerkin finite element discretisation for modelling mangrove environments in a real-world application. A wetting drying scheme was implemented in the models in order to avoid numerical instabilities. The effect of mangrove environments is demonstrated ,by imposing a periodic tidal boundary, conditions using TPXO tidal solver, using experiments with and without mangroves. The model is validated against the results of another study on the same region and tidal gauge data. Mangrove environments are able to decrease water elevations and velocities by more than 97%, and prevent almost any sediment erosion when compared with the experiment with no mangroves.",https://pureportal.coventry.ac.uk/en/publications/hydro-morphodynamic-modelling-of-mangroves-imposed-by-tidal-waves,"['https://pureportal.coventry.ac.uk/en/persons/majdi-fanous', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah', None, None, 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade']","['hydro', 'morphodynam', 'model', 'mangrov', 'impos', 'tidal', 'wave', 'use', 'finit', 'element', 'discontinu', 'galerkin', 'method', 'majdi', 'fanou', 'alireza', 'daneshkhah', 'jonathan', 'eden', 'renji', 'remesan', 'vasil', 'palad', 'model', 'hydro', 'morphodynam', 'mangrov', 'environ', 'key', 'implement', 'success', 'protect', 'restor', 'project', 'climat', 'vulner', 'region', 'nevertheless', 'simul', 'dynam', 'face', 'comput', 'time', 'complex', 'given', 'nonlinear', 'complex', 'natur', 'problem', 'could', 'becom', 'bottleneck', 'larg', 'scale', 'applic', 'studi', 'investig', 'effect', 'mangrov', 'environ', 'hydro', 'morphodynam', 'region', 'depth', 'averag', 'model', 'built', 'use', 'novel', 'finit', 'element', 'model', 'simul', 'coastal', 'model', 'within', 'theti', 'sundarban', 'largest', 'mangrov', 'forest', 'world', 'locat', 'india', 'bangladesh', 'taken', 'case', 'studi', 'sundarban', 'regularli', 'subject', 'tropic', 'cyclon', 'impact', 'endang', 'live', 'region', 'four', 'million', 'peopl', 'first', 'time', 'applic', 'coupl', 'hydro', 'morphodyam', 'model', 'use', 'discontinu', 'galerkin', 'finit', 'element', 'discretis', 'model', 'mangrov', 'environ', 'real', 'world', 'applic', 'wet', 'dri', 'scheme', 'implement', 'model', 'order', 'avoid', 'numer', 'instabl', 'effect', 'mangrov', 'environ', 'demonstr', 'impos', 'period', 'tidal', 'boundari', 'condit', 'use', 'tpxo', 'tidal', 'solver', 'use', 'experi', 'without', 'mangrov', 'model', 'valid', 'result', 'anoth', 'studi', 'region', 'tidal', 'gaug', 'data', 'mangrov', 'environ', 'abl', 'decreas', 'water', 'elev', 'veloc', '97', 'prevent', 'almost', 'sediment', 'eros', 'compar', 'experi', 'mangrov', 'coastal', 'model', 'hydro', 'morphodynam', 'model', 'discontinu', 'galerkin', 'mangrov', 'environ', 'unstructur', 'mesh']"
7,Kernel-based Nonlinear Manifold Learning for EEG Functional Connectivity Analysis with Application to Alzheimer's Disease,"Shenal Rajintha Alexander Samarathunge Gunawardena, Ptolemaios G. Sarrigiannis, D. J. Blackburn, F. He",19-Jan-23,"['Neurological diseases', 'Couplings', 'Neuroscience', 'Correlation', 'Signal processing', 'Electroencephalography', 'Biology']","Dynamical, causal and cross-frequency coupling analysis using the EEG has received significant interest for the analysis and diagnosis of neurological disorders [1]–[3]. Due to the high computational requirements needed for some of these methods, EEG channel selection is crucial [4]. Functional connectivity (FC) between EEG channels is often used for channel selection and connectivity analysis [4, S, 6]. Ideally, in the case of selecting channels for dynamical and causal analysis, FC methods should be able to account for linear and nonlinear spatial and temporal interactions between EEG channels. In neuroscience, FC is quantified using different measures of (dis) similarity to assess the statistical dependence between two signals [5]. However, the interpretation of FC measures can differ significantly from one measure to another[5, 7]. In the early diagnosis of AD, [7] showed correlations among various (dis)similarity measures, and therefore these measures can be grouped. Thus, one from each is sufficient to extract information from the data [7]. Therefore, the development of a generic measure of (dis)similarity is important in FC analysis.",https://pureportal.coventry.ac.uk/en/publications/kernel-based-nonlinear-manifold-learning-for-eeg-functional-conne,"['https://pureportal.coventry.ac.uk/en/persons/shenal-rajintha-alexander-samarathunge-gunawardena', None, None, None]","['kernel', 'base', 'nonlinear', 'manifold', 'learn', 'eeg', 'function', 'connect', 'analysi', 'applic', 'alzheim', 'diseas', 'shenal', 'rajintha', 'alexand', 'samarathung', 'gunawardena', 'ptolemaio', 'g', 'sarrigianni', 'j', 'blackburn', 'f', 'dynam', 'causal', 'cross', 'frequenc', 'coupl', 'analysi', 'use', 'eeg', 'receiv', 'signific', 'interest', 'analysi', 'diagnosi', 'neurolog', 'disord', '1', '3', 'due', 'high', 'comput', 'requir', 'need', 'method', 'eeg', 'channel', 'select', 'crucial', '4', 'function', 'connect', 'fc', 'eeg', 'channel', 'often', 'use', 'channel', 'select', 'connect', 'analysi', '4', '6', 'ideal', 'case', 'select', 'channel', 'dynam', 'causal', 'analysi', 'fc', 'method', 'abl', 'account', 'linear', 'nonlinear', 'spatial', 'tempor', 'interact', 'eeg', 'channel', 'neurosci', 'fc', 'quantifi', 'use', 'differ', 'measur', 'di', 'similar', 'assess', 'statist', 'depend', 'two', 'signal', '5', 'howev', 'interpret', 'fc', 'measur', 'differ', 'significantli', 'one', 'measur', 'anoth', '5', '7', 'earli', 'diagnosi', 'ad', '7', 'show', 'correl', 'among', 'variou', 'di', 'similar', 'measur', 'therefor', 'measur', 'group', 'thu', 'one', 'suffici', 'extract', 'inform', 'data', '7', 'therefor', 'develop', 'gener', 'measur', 'di', 'similar', 'import', 'fc', 'analysi', 'neurolog', 'diseas', 'coupl', 'neurosci', 'correl', 'signal', 'process', 'electroencephalographi', 'biolog']"
8,Not Born of Woman: Gendered Robots,"Huma Shah, Fred Roberts",26-Feb-23,"['Gender', 'Chatbots', 'Robots', 'Affective Computing', 'Gender in AI', 'Artificial intelligence', 'Gender in Robotics']","This chapter posits that gender, while being messy and non-binary, is a salient consideration in the development of virtual and embodied robots to avoid replicating stereotypical representations of men and women's roles and occupations in our future artificial work colleagues, and companions. Some questions are posed for robot developers with early responses from researchers working in the field.",https://pureportal.coventry.ac.uk/en/publications/not-born-of-woman-gendered-robots,"['https://pureportal.coventry.ac.uk/en/persons/huma-shah', None]","['born', 'woman', 'gender', 'robot', 'huma', 'shah', 'fred', 'robert', 'chapter', 'posit', 'gender', 'messi', 'non', 'binari', 'salient', 'consider', 'develop', 'virtual', 'embodi', 'robot', 'avoid', 'replic', 'stereotyp', 'represent', 'men', 'women', 'role', 'occup', 'futur', 'artifici', 'work', 'colleagu', 'companion', 'question', 'pose', 'robot', 'develop', 'earli', 'respons', 'research', 'work', 'field', 'gender', 'chatbot', 'robot', 'affect', 'comput', 'gender', 'ai', 'artifici', 'intellig', 'gender', 'robot']"
9,PoseNormNet: Identity-preserved Posture Normalization of 3D Body Scans in Arbitrary Postures,"Ran Zhao, Xinxin Dai, Pengpeng Hu, Adrian Munteanu",16-Feb-23,"['Posture normalization', 'Deep learning', 'Human body shape', '3D scanning']","3D human models accurately represent the shape of the subjects, which is key to many human-centric industrial applications, including fashion design, body biometrics extraction, and computer animation. These tasks usually require a high-fidelity human body mesh in a canonical posture (e.g., ‘A’ pose or ‘T’ pose). Although 3D scanning technology is fast and popular for acquiring the subject's body shape, automatically normalizing the posture of scanned bodies is still under-researched. Existing methods highly rely on skeleton-driven animation technologies. However, these methods require carefully-designed skeleton and skin weights, which is time-consuming and fails when the initial posture is complicated. In this work, a novel deep learning-based approach, dubbed PoseNormNet, is proposed to automatically normalize the postures of scanned bodies. The proposed algorithm provides strong operability since it does not require any rigging priors and works well for subjects in arbitrary postures. Extensive experimental results on both synthetic and real-world datasets demonstrate that the proposed method achieves state-of-the-art performance in both objective and subjective terms.",https://pureportal.coventry.ac.uk/en/publications/posenormnet-identity-preserved-posture-normalization-of-3d-body-s,"[None, None, 'https://pureportal.coventry.ac.uk/en/persons/pengpeng-hu', None]","['posenormnet', 'ident', 'preserv', 'postur', 'normal', '3d', 'bodi', 'scan', 'arbitrari', 'postur', 'ran', 'zhao', 'xinxin', 'dai', 'pengpeng', 'hu', 'adrian', 'munteanu', '3d', 'human', 'model', 'accur', 'repres', 'shape', 'subject', 'key', 'mani', 'human', 'centric', 'industri', 'applic', 'includ', 'fashion', 'design', 'bodi', 'biometr', 'extract', 'comput', 'anim', 'task', 'usual', 'requir', 'high', 'fidel', 'human', 'bodi', 'mesh', 'canon', 'postur', 'e', 'g', 'pose', 'pose', 'although', '3d', 'scan', 'technolog', 'fast', 'popular', 'acquir', 'subject', 'bodi', 'shape', 'automat', 'normal', 'postur', 'scan', 'bodi', 'still', 'research', 'exist', 'method', 'highli', 'reli', 'skeleton', 'driven', 'anim', 'technolog', 'howev', 'method', 'requir', 'care', 'design', 'skeleton', 'skin', 'weight', 'time', 'consum', 'fail', 'initi', 'postur', 'complic', 'work', 'novel', 'deep', 'learn', 'base', 'approach', 'dub', 'posenormnet', 'propos', 'automat', 'normal', 'postur', 'scan', 'bodi', 'propos', 'algorithm', 'provid', 'strong', 'oper', 'sinc', 'requir', 'rig', 'prior', 'work', 'well', 'subject', 'arbitrari', 'postur', 'extens', 'experiment', 'result', 'synthet', 'real', 'world', 'dataset', 'demonstr', 'propos', 'method', 'achiev', 'state', 'art', 'perform', 'object', 'subject', 'term', 'postur', 'normal', 'deep', 'learn', 'human', 'bodi', 'shape', '3d', 'scan']"
